Language	English	Français	italiano	Deutsche	español	日本	Português	عربى	한국어	Русский	中文(简)	中文(繁)	Polski	Dutch	Предреформенный русскій
reroll_rune_description	Show a fresh selection of runes to choose from.  Locked runes will not be changed.	Montrez une nouvelle sélection de runes à choisir. Les runes verrouillées ne seront pas modifiées.	Mostra una selezione fresca di rune da scegliere. Le rune bloccate non verranno cambiate.	Zeige eine frische Auswahl an Runen zur Auswahl. Gesperrte Runen werden nicht geändert.	Muestra una nueva selección de runas para elegir. Las runas bloqueadas no serán cambiadas.	選択する新しいルーンのセットを表示します。ロックされたルーンは変更されません。	Mostre uma nova seleção de runas para escolher. Runas trancadas não serão alteradas.	اعرض مجموعة جديدة من الرون للاختيار منها. لن تتغير الرون المقفلة.	선택할 새로운 룬을 보여주세요. 잠금된 룬은 변경되지 않습니다.	Покажите свежий выбор рун для выбора. Заблокированные руны не будут изменены.	显示新的符文供选择。锁定的符文将不会更改。	顯示可供選擇的新符文。鎖定的符文將不會更改。	Pokaż świeży wybór run do wyboru. Zablokowane runy nie będą zmieniane.	Toon een verse selectie runen om uit te kiezen. Vergrendelde runen zullen niet worden gewijzigd.	Показать свѣжій выборъ рунъ для избранія. Заблокированныя руны не будутъ измѣнены.
rune_golemancer	Creates enough ally golems to ensure you have 🍞 at the start of each turn	Crée suffisamment de golems alliés pour garantir que vous ayez 🍞 au début de chaque tour.	Crea abbastanza golem alleati per assicurarti di avere 🍞 all'inizio di ogni turno.	Erschaffe genügend Verbündete Golems, um sicherzustellen, dass du zu Beginn jedes Zuges 🍞 hast.	Crea suficientes golems aliados para asegurarte de tener 🍞 al comienzo de cada turno.	各ターンの開始時に🍞が確保できるように、十分な味方ゴーレムを作成する。	Cria golems aliados suficientes para garantir que você tenha 🍞 no início de cada turno.	قم بإنشاء ما يكفي من الغولم الحليفة للتأكد من حصولك على 🍞 في بداية كل دور	각 턴 시작 시 최대 🍞 아군 골렘 생성	Создаёт достаточно дружественных големов, чтобы у вас был 🍞 в начале каждого хода.	创造足够的盟友魔像，以确保你在每个回合开始时都有🍞。	創造足夠的盟友魔像，以確保你在每回合開始時有 🍞。	Tworzy wystarczającą liczbę sojuszniczych golemów, aby zapewnić ci 🍞 na początku każdej tury.	Creëert genoeg bondgenoten golems om ervoor te zorgen dat je bij het begin van elke beurt 🍞 hebt.	Создаетъ достаточно дружескихъ големовъ, дабы у васъ былъ 🍞 въ началѣ каждаго хода.
Good Looking	Good Looking	Beau gosse	Bello da vedere	Gut aussehend	Atractivo	ハンサムな	Aparência Atraente	وسيم	잘생긴	Хорошо выглядящий	好看	好看	Dobrze wyglądający	Goed uitziend	Добро выглядящій
Default Pierce	All arrows pierce an additional unit	Toutes les flèches perforent une unité supplémentaire.	Tutte le frecce perforano un'unità aggiuntiva.	Alle Pfeile durchdringen eine zusätzliche Einheit.	Todas las flechas atraviesan una unidad adicional.	すべての矢は追加のユニットを貫通します。	Todas as flechas perfuram uma unidade adicional.	تخترق جميع السهام وحدة إضافية	화살이 추가 유닛을 관통합니다.	Все стрелы пробивают на одну единицу больше.	所有箭矢额外穿透一个单位。	所有箭矢可穿透額外一個單位。	Wszystkie strzały przebijają o dodatkową jednostkę.	Alle pijlen doorboren een extra eenheid.	Всѣ стрѣлы пробиваютъ на одну единицу болѣе.
Plague Bringer	Plague Bringer	Apporteur de Peste	Portatore di Peste	Seuchenbringer	Portador de Plagas	疫病の使者	Portador da Praga	حامل الطاعون	전염병 전파자	Мучитель Чумы	瘟疫使者	瘟疫使者	Niosący Zarazę	Plaagbrenger	Мучитель Мора
Dare Devil	Dare Devil	Défi de l'audace	Diavolo Audace	Wagemutiger Teufel	Diablo Audaz	ダーヴ・デビル	Diabo atrevido	متهور	대담한 악당	Смелый дьявол	胆大妄为的人	大膽惡魔	Szaleńczy Diabeł	waaghals	Смѣлый чёртъ
Thorns	Thorns	Épines	Spine	Dornen	Espinas	棘	Espinhos	أشواك	가시	Шипы	荆棘	荊棘	Kolce	Doorns	Шипы
Bounty: Potion	Bounty: Potion	Prime: Potion	Ricompensa: Pozione	Belohnung: Trank	Recompensa: Poción	報酬: ポーション	Recompensa: Poção	مكافأة: جرعة	현상금: 물약	Награда: Зелье	赏金：药水	賞金：藥水	Nagroda: Eliksir	Bounty: Tovenaarsdrank	Награда: Зельѥ
Heavy Toxins	Heavy Toxins	Toxines lourdes	Tossine Pesanti	Schwere Toxine	Tóxicos Pesados	重い毒素	Toxinas Pesadas	سموم ثقيلة	강력한 독소	Тяжелые токсины	重毒素	重型毒素	Ciężkie Toksyny	Zware Toxines	Тяжкія отравы
Bounty: Portal	Bounty: Portal	Récompense : Portail	Bounty: Portale	Prämie: Portal	Recompensa: Portal	賞金: ポータル	Recompensa: Portal	مكافأة: بوابة	현상금: 포탈	Награда: Портал	赏金：传送门	獎金：傳送門	Nagroda: Portal	Bounty: Portaal	Награда: Врата
on sale	discount	remise	sconto	Rabatt	descuento	割引	desconto	خصم	할인	скидка	折扣	折扣	zniżka	korting	Уступка
Golemancer	Golemancer	Golemancien	Golemante	Golemancer	Golemancero	ゴーレム使い	Golemante	صانع الجوليم	골렘술사	Големант	傀儡法师	魔像法師	Golemancer	Golemancer	Големщикъ
Shield Bash	Shield Bash	Coup de bouclier	Colpo di Scudo	Schildschlag	Golpe de Escudo	シールドバッシュ	Golpe de Escudo	ضربة الدرع	방패 공격	Удар щитом	盾击	盾牌猛擊	Cios Tarczy	Schildenramstel	Ударъ щитомъ
Mana Barrier	Mana Barrier	Barrière de Mana	Barriera di Mana	Mana-Barriere	Barrera de Maná	マナバリア	Barreira de Mana	حاجز المانا	마나 장벽	Мана Барьер	法力屏障	法力護盾	Bariera Many	Mana Barrière	Щит эѳира 
Affinity: Soul	Affinity: Soul	Affinité : Âme	Affinità: Anima	Affinität: Seele	Afinidad: Alma	親和性：魂	Afinidade: Alma	الانسجام: الروح	속성: 영혼	Склонность: Душа	亲和力：灵魂	親和力：靈魂	Powiązanie: Dusza	Affiniteit: Ziel	Склонность: Душа
Contaminate Self on Teleport	Contaminate Self on Teleport	Contamination personnelle lors du téléport.	Contaminare se stesso durante il teletrasporto	Selbst kontaminieren bei Teleportation	Contaminarse al Teletransportarse	テレポート時の自己汚染	Contaminado a si mesmo ao Teletransportar	تلوث ذاتك عند الانتقال	텔레포트 시 자가 오염	Заражение при телепортации	传送时自我污染	傳送時自我污染	Rozsiewaj klątwy podczas teleportacji	Verspreid vloeken als je teleporteert	Заразъ при прехожденіи
Affinity: Blessing	Affinity: Blessing	Affinité : Bénédiction	Affinità: Benedizione	Affinität: Segen	Afinidad: Bendición	アフィニティ：祝福	Afinidade: Bênção	الولاء: نعمة	동맹: 축복	Привязанность: Благословение	亲和力：祝福	親和力：祝福	Powiązanie: Błogosławieństwo	Affiniteit: Zegen	Привязанность: Благословеніе
Affinity: Curse	Affinity: Curse	Affinité : Malédiction	Affinità: Maledizione	Affinität: Fluch	Afinidad: Maldición	親密度: 呪い	Afinidade: Maldição	الولاء: لعنة	유대: 저주	Привязанность: Проклятие	亲和力：诅咒	親和力：詛咒	Powiązanie: Klątwa	Affiniteitle: Vloek	Привязанность: Проклятіе
Shield Regen	Shield Regen	Régénération de bouclier	Rigenerazione scudo	Schildregeneration	Regeneración de Escudo	シールド再生	Regeneração de Escudo	استعادة الدرع	방패 재생	Регенерация Щита	护盾重生	盾牌再生	Regeneracja tarczy	Schild Regeneratie	Возстановленіе Щита
Bounty: Restore Stamina	Bounty: Restore Stamina	Prime: Restaurer l'endurance	Ricompensa: Ripristina Stamina	Ziel: Ausdauer wiederherstellen	Recompensa: Restablecer Estamina	報酬：スタミナを回復する	Recompensa: Restaure a Estamina	المكافأة: استعادة القدرة على التحمل	현상금: 체력 회복	Награда: Восстановить выносливость	赏金：回复耐力	獎勵：恢復耐力	Nagroda: Przywróć Wytrzymałość	Beloning: Herstel Uithoudingsvermogen	Награда: Возстановити силу
Affinity: Damage	Affinity: Damage	Affinité : Dégâts	Affinità: Danno	Affinity: Schaden	Afinidad: Daño	親密度: ダメージ	Afinidade: Dano	الألفة: الضرر	친밀도: 피해	Привязанность: Урон	亲和力：伤害	親和力：傷害	Powiązanie: Obrażenia	Affiniteit: Schade	Привязанность: Уронъ
Inflict Poison	Inflict Poison	Infliger du poison	Infliggi Veleno	Giftige Wunde hervorrufen	Infligir Veneno	毒を与える	Infligir Veneno	أصابة بالتسمم	독을 주다	Наложить яд	施加毒素	施加毒素	Zadaj truciznę	Veroorzaak Vergif	Наложити отраву
Bounty: Refresh	Bounty: Refresh	Prime: Rafraîchir	Ricompensa: Ricarica	Kopfgeld: Auffrischen	Recompensa: Refrescar	指名手配: 更新	Recompensa: Atualizar	مكافأة: تحديث	현상금: 복원	Награда: Обновить	悬赏：重置	賞金：刷新	Nagroda: Odświeżenie	Beloning: Vernieuwd	Награда: Обновити
Bounty: Portal	Bounty: Portal	Récompense : Portail	Bounty: Portale	Prämie: Portal	Recompensa: Portal	賞金: ポータル	Recompensa: Portal	مكافأة: بوابة	현상금: 포탈	Награда: Портал	赏金：传送门	獎金：傳送門	Nagroda: Portal	Bounty: Portaal	Награда: Врата
Secret Ingredients	Secret Ingredients	Ingrédients secrets	Ingredienti Segreti	Geheime Zutaten	Ingredientes Secretos	秘密の材料	Ingredientes Secretos	مكونات سرية	비밀 재료	Секретные ингредиенты	秘密成分	秘密成分	Tajne składniki	Geheime Ingrediënten	Тайныя снадобья
Bounty: Suffocate	Bounty: Suffocate	Prime: Suffoquer	Ricompensa: soffocare	Belohnung: Ersticken	Recompensa: Sofocar	報酬：窒息させる	Recompensa: Asfixiar	مكافأة: الاختناق	현상금: 질식시키기	Награда: Удушение	赏金：窒息	賞金：窒息	Nagroda: Udusić	Beloon: Verstik	Награда: Удушеніе
Affinity: Targeting	Affinity: Targeting	Affinité : Ciblage	Affinità: Mirare	Affinität: Zielen	Afinidad: Apuntando	親和性：標的設定	Afinidade: Alvos	الانسجام: الاستهداف	유대감: 표적 지정	Аффинитет: Целеполагание	亲和力：目标选择	親和力：瞄準	Powiązanie: Celowanie	Affiniteit: Doelgerichtheid	Привязанность: Намѣреніе
Potion Effectiveness	Potion Effectiveness	Efficacité des potions	Effetto della pozione	Trankwirkung	Efectividad de la poción	ポーションの効果効能	Eficácia da Poção	فاعلية الجرعة	포션 효과 지속력	Эффективность зелья	药水效果	藥水效果	Skuteczność mikstur	Drankeffectiviteit	Дѣйственность зелья
Self Invulnerability	Self Invulnerability	Invulnérabilité personnelle	Autosalvaguardia	Selbstunverwundbarkeit	Autoinvulnerabilidad	自己無敵	Auto-invulnerabilidade	الحماية الذاتية من الأذى	자기 무적	Самоневосприимчивость	自我无敌	自我無敵	Samo-niezniszczalność	Zelfonkwetsbaarheid	Самоохрана
Heal on Attack	Heal on Attack	Guérison à l'Attaque	Guarigione all'Attacco	Heilung bei Angriff	Sanar al Atacar	攻撃時の回復	Cura ao Atacar	شفاء عند الهجوم	공격 시 회복	Исцеление при атаке	攻击时治疗	攻擊時療傷	Leczenie przy ataku	Genezing bij Aanval	Исцѣленіе при нападеніи
Overheal	Overheal	Au-delà de la santé maximale	Sovrascudo	Überheilung	Sobrehabilidad	過剰回復	Supercura	زيادة الشفاء	최대 체력 포인트를 넘어	Перелечение	超量治疗	超治療	Przepełnienie zdrowia	Overheal	Преизцѣленіе
Creeping Death	Creeping Death	Mort Rampante	Morte Strisciante	Schleichender Tod	Muerte Sigilosa	忍び寄る死	Morte Silenciosa	الموت الزاحف	기어오는 죽음	Ползущая Смерть	潜行死亡	潛行死亡	Czołgająca się Śmierć	Kruipende Dood	Ползучая Смерть
Bounty: Potion	Bounty: Potion	Prime: Potion	Ricompensa: Pozione	Belohnung: Trank	Recompensa: Poción	報酬: ポーション	Recompensa: Poção	مكافأة: جرعة	현상금: 물약	Награда: Зелье	赏金：药水	賞金：藥水	Nagroda: Eliksir	Bounty: Tovenaarsdrank	Награда: Зельѥ
On Kill Resurrect	On Kill Resurrect	Sur Tuer Ressusciter	Su uccisione, resuscita	Bei Kill Wiederbeleben	Al matar, resucitar	殺害して復活	Ao Morrer, Ressuscitar	عند القتل، الإحياء	죽음의 부활	На Убийство Воскрешение	击杀复活	擊殺重生	Na zabicie, wskrzeszenie	Bij Doden Herleven	На Убой Воскресеніе
Bounty: Extra Damage	Bounty: Extra Damage	Prime : Dégâts supplémentaires	Ricompensa: Danno Extra	Belohnung: Zusätzlicher Schaden	Recompensa: Daño Extra	報酬: 追加ダメージ	Recompensa: Dano Extra	مكافأة: ضرر إضافي	현상금: 추가 대미지	Награда: Дополнительный Урон	悬赏：额外伤害	賞金：額外傷害	Nagroda: Dodatkowe obrażenia	Bounty: Extra Schade	Награда: Прибавочный Уронъ
Affinity: Movement	Affinity: Movement	Affinité : Mouvement	Affinità: Movimento	Affinität: Bewegung	Afinidad: Movimiento	親和性：移動	Afinidade: Movimento	الانسجام: الحركة	친밀도: 이동	Привязанность: Движение	亲和力：移动	親和力：移動	Afinitet: Ruch	Affiniteit: Beweging	Привязанность: Движеніе
Default Radius Boost	Default Radius Boost	Ampleur de rayon par défaut	Boost del Raggio Predefinito	Standardradiusverstärkung	Aumento de radio predeterminado	デフォルト半径ブースト	Aumento de Raio Padrão	زيادة نصف القطر الافتراضية	기본 반경 증가	Стандартное увеличение радиуса	默认半径提升	默認半徑提升	Domyślny Zasięg Wzmocnienia	Standaard Radius Versterking	Обычное увеличеніе предѣла
Bounty: Golem	Bounty: Golem	Prime : Golem	Bounty: Golem	Belohnung: Golem	Recompensa: Golem	討伐依頼: ゴーレム	Recompensa: Golem	مكافأة: تمثال حيواني	현상금: 골렘	Награда: Голем	悬赏：傀儡	賞金：魔像	Nagroda: Golem	Bounty: Golem	Награда: Големъ
Alchemist	Alchemist	Alchimiste	Alchimista	Alchemist	Alquimista	錬金術師	Alquimista	الخيميائي	연금술사	Алхимик	炼金术士	煉金術士	Alchemik	Alchemist	Зельеварецъ
Health Regen	Health Regen	Régénération de santé	Rigenerazione della salute	Gesundheitsregeneration	Regeneración de Salud	健康再生	Regeneração de Saúde	استعادة الصحة	체력 회복	Восстановление здоровья	生命恢复	生命恢復	Regeneracja zdrowia	Gezondheidsherstel	Возстановленіе здравия
More Bounties	More Bounties	Plus de primes	Più Ricompense	Mehr Aufträge	Más Recompensas	さらなる懸賞	Mais Recompensas	مزيد من المكافآت	더 많은 현상금	Больше наград	更多悬赏任务	更多賞金	Więcej nagród	Meer Bounties	Болѣе наградъ
Potion Barrier	Potion Barrier	Potion de barrière	Pozione Barriera	Trank-Schutz	Poción Barrera	ポーションバリア	Poção de Barreira	جرعة الحماية	포션 장벽	Зелье Защиты	药水屏障	藥水護盾	Eliksir Bariery	Potion Barrière	Зельѥ Защиты
Mana on Kill	Mana on Kill	Mana au kill	Mana al momento della morte	Mana bei Tötung	Maná al matar	キル時のマナ	Mana ao Matar	مانا من بين الأموات	킬 시 마나 회복	Мана при убийстве	击杀法力	擊殺回復法力	Mana za zabicie	Mana bij Doden	эѳиръ при убойствѣ
Changeling	Changeling	Changer	Cambiacarne	Wechselbalg	Cambiante	チェンジリング	Mudança	تغيير الشكل	변화자	Перевертыш	易变者	變形者	Zmiana kształtu	wisselkind	Оборотень
Clone on Spawn	Clone on Spawn	Clone à l'apparition	Clona alla nascita	Klon beim Spawn	Clon en aparición	スポーン時にクローン生成	Clone ao Surgir	استنساخ عند الظهور	스폰 시 복제	Клон при появлении	生成时复制	重生克隆	Klone przy spawnie	Kloon bij Spawnen	Двойникъ при явленіи
rune_bounty_refresh	Spawns a new bounty immediately when one is claimed	Fait apparaître une nouvelle prime immédiatement lorsqu'une est réclamée.	Genera immediatamente una nuova taglia quando una viene reclamata.	Erzeugt sofort eine neue Belohnung, wenn eine beansprucht wird.	Genera una nueva recompensa inmediatamente cuando se reclama una.	新しい賞金が請求されるとすぐに新しい賞金が出現します。	Gera uma nova recompensa imediatamente quando uma é reivindicada.	يتم استدعاء مكافأة جديدة على الفور عند المطالبة بإحداها	현상금이 청구되면 즉시 새로운 현상금이 생성됩니다.	Немедленно создает новый контракт, когда один из них выполняется.	在声望被领取时立即生成新的赏金。	在一個賞金被認領時立即生成新的賞金。	Natychmiastowo przyzywa nowe zlecenie, gdy jedno zostanie odebrane.	Spawn een nieuwe bounty onmiddellijk wanneer een wordt geclaimd.	Немедля творитъ новый уговоръ, когда одинъ изъ нихъ исполненъ.
rune_bounty_portal	Spawn a yellow portal when claiming a bounty	Faites apparaître un portail jaune en réclamant une prime.	Evoca un portale giallo quando si reclama una ricompensa.	Beschwöre ein gelbes Portal, beim Einfordern einer Belohnung.	Invoca un portal amarillo al reclamar una recompensa.	バウンティを請求すると、黄色いポータルを出現させる	Crie um portal amarelo ao reivindicar uma recompensa.	قم بإنشاء بوابة صفراء عند المطالبة بمكافأة	현상금을 수령할 때 노란 포털을 소환합니다.	Создайте желтый портал при получении награды.	在领取赏金时生成一个黄色传送门	在獲得賞金時生成一個黃色傳送門	Weź żółty portal po odebraniu nagrody.	Roep een gele portal op bij het claimen van een beloning.	Создайте пурпурныя врата при полученіи награды.
rune_secret_ingredients	Empower the nearest potion each turn	Renforce la potion la plus proche à chaque tour.	Potenzia la pozione più vicina ogni turno.	Jede Runde den nächstgelegenen Trank verstärken.	Potencia la poción más cercana cada turno.	各ターンごとに最も近いポーションを強化する	Potencialize a poção mais próxima a cada turno.	عزز أقرب جرعة في كل دورة	매 턴마다 가장 가까운 포션의 힘을 강화하십시오.	Укрепляйте ближайшее зелье каждую очередь.	每回合强化最近的药水	每回合增強最近的藥水	Wzmocnij najbliższą miksturę co turę.	Versterk de dichtstbijzijnde potion elke beurt	Укрѣпляйте ближайшее зельѥ каждую очередь.
rune_bounty_suffocate	Damaging a bounty target inflicts 🍞 "Suffocate"	Endommager une cible de prime inflige 🍞 "Suffoquer"	Danneggiare un bersaglio di taglia infligge 🍞 "Soffocare"	Das Schädigen eines Zieles für die Belohnung verursacht 🍞 "Ersticken"	Dañar a un objetivo de recompensa inflige 🍞 "Sofocar"	バウンティターゲットにダメージを与えると🍞「窒息」状態を与える。	Dano a um alvo de recompensa inflige 🍞 "Sufocar"	إلحاق الضرر بهدف المكافأة يسبب 🍞 "اختناق"	보상을 받은 대상을 공격하면 🍞 "질식"이 적용됩니다.	Повреждение цели награды накладывает 🍞 "Удушение"	对猎杀目标造成伤害会施加 🍞 "窒息" 状态。	傷害賞金目標會造成 🍞「窒息」效果	Uszkodzenie celu nagrody wywołuje 🍞 "Duszenie"	Het toekennen van schade aan een beloningsdoel veroorzaakt 🍞 "Verstikkende"	Поврежденіе цѣли награды налагаетъ 🍞 "Удушеніе"
rune_more_bounties	Increases the number of bounties	Augmente le nombre de primes.	Ottieni più taglie da cacciare	Erhöht die Anzahl der Belohnungen.	Aumenta el número de recompensas	懸賞の数を増加させる	Aumenta o número de recompensas	يزيد من عدد الجوائز المعلنة	현상금 수를 증가시킵니다.	Увеличивает количество наград.	增加悬赏的数量	增加懸賞數量	Zwiększa liczbę nagród.	Verhoogt het aantal beloningen	Увеличиваетъ число наградъ.
rune_bounty_golem	Spawn 🍞 golems when claiming a bounty	Faites apparaître des golems 🍞 en réclamant une prime.	Genera 🍞 golem  quando si reclama una ricompensa	Beschwöre 🍞 Golems, wenn du eine Belohnung beanspruchst.	Invoca golems 🍞 al reclamar una recompensa.	バウンティを獲得すると、🍞ゴーレムが出現します。	Invocar 🍞 golems ao reivindicar uma recompensa.	قم باستدعاء 🍞 Golems عند الحصول على مكافأة	현상금을 요청할 때 🍞 골렘을 소환하세요.	Призывайте 🍞 големов, когда требуете награду.	当您领取赏金时召唤 🍞 傀儡。	當您領取賞金時召喚🍞 傀儡。	Przywołaj 🍞 golemy, gdy zgarniesz nagrodę.	Roep 🍞 golems op bij het innen van een beloning.	Призывайте 🍞 големовъ, когда требуете награду.
rune_on_kill_resurrect	🍞% chance to resurrect a unit on kill	🍞 % de chances de ressusciter une unité lorsque vous tuez un autre ennemi	🍞% di possibilità di resuscitare un'unità quando uccidi un altro nemico	🍞% Chance, einen Einheit beim Töten wiederzubeleben	🍞% de probabilidad de resucitar una unidad al matar	🍞%の確率で、敵を倒したときにユニットを復活させる	🍞% de chance de ressuscitar uma unidade ao matar	🍞% فرصة لإعادة إحياء وحدة عند القتل	🍞% 확률로 적을 처치할 때 유닛을 부활시킵니다.	🍞% шанс воскресить юнита при убийстве	🍞% 击杀时复活一个单位的几率	🍞% 機率在擊殺時重生單位	🍞% szansa na wskrzeszenie jednostki przy zabiciu	🍞% kans om een eenheid te resurrecten bij een kill	🍞% вѣроятность воскресити воина при убойствѣ
rune_bounty_potion	Claiming a bounty will drop a powerful potion	Réclamer une prime fera tomber une puissante potion.	Rivendicare una taglia farà cadere una potente pozione.	Das Einfordern einer Belohnung wird einen mächtigen Trank fallen lassen.	Reclamar una recompensa soltará una poderosa poción.	賞金を請求すると、強力なポーションが手に入ります。	Reclamar uma recompensa soltará uma poderosa poção.	مطالبات المكافآت ستسقط جرعة قوية	보상을 청구하면 강력한 물약이 떨어집니다.	Получение награды приведет к получению мощного зелья.	领取赏金将掉落强力药水。	領取賞金將掉落一瓶強力藥水	Zgłoszenie nagrody spowoduje upuszczenie potężnej mikstury.	Het opeisen van een beloning zal een krachtige potion droppen.	Полученіе награды приведетъ къ обрѣтенію сильнаго зелья.
rune_creeping_death	Inflicts a random enemy with 🍞 stacks of suffocate when another enemy is killed	Inflige à un ennemi aléatoire 🍞 charges de suffocation lorsqu'un autre ennemi est tué.	Infligge a un nemico casuale 🍞 stack di soffocamento quando un altro nemico viene ucciso.	Fügt einem zufälligen Feind 🍞 Stapel von Ersticken zu, wenn ein anderer Feind getötet wird.	Inflige a un enemigo aleatorio 🍞 montones de sofocación cuando otro enemigo es asesinado.	別の敵が倒されると、ランダムな敵に🍞の窒息スタックを与える。	Inflige a um inimigo aleatório 🍞 pilhas de sufocar quando outro inimigo é eliminado.	يُصيب عدوًا عشوائيًا بـ 🍞 كومة من الاختناق عند قتل عدو آخر	다른 적이 처치될 때 무작위 적에게 🍞 질식 효과 스택을 부여합니다.	Накладывает на случайного врага 🍞 стаканов удушья, когда убивается другой враг.	当另一个敌人被击杀时，对随机敌人施加🍞堆叠窒息效果。	當另一隻敵人被擊殺時，對隨機敵人施加 🍞 層窒息效果。	Zadaje losowemu wrogowi 🍞 stosów duszenia, gdy inny wróg zostaje zabity.	Brengt een willekeurige vijand 🍞 stapels verstikking toe wanneer een andere vijand wordt gedood.	Накладываетъ на случайнаго врага 🍞 стоговъ удушья, когда убивается другой врагъ.
rune_heavy_toxins	Inflicting poison also inflicts "Slow"	Infliger du poison inflige également "Ralentissement" 	Infliggere veleno infligge anche "Rallentamento"	Das Zufügen von Gift bewirkt auch "Langsamkeit"	Infligir veneno también inflige "Lento"	毒を付与すると「鈍足」も付与される	Causar veneno também impõe "Devagar" 	إن إلحاق السم يؤدي أيضًا إلى "البطء"	독을 가하면 "느림" 효과도 적용됩니다.	Нанесение яда также накладывает эффект «Замедление».	造成毒害也会造成“缓慢”	造成毒害也會造成“緩慢”	Zadawanie obrażeń jadem powoduje również efekt "Spowolnienie"	Het toedienen van vergif veroorzaakt ook "Langzaam" 	Нанесеніе отравы также налагаетъ дѣйствіе «Замедленіе».
rune_alchemist	🍞% chance to summon a potion each turn	🍞% de chance d'invoquer une potion à chaque tour	🍞% possibilità di evocare una pozione ogni turno	🍞% Chance, jede Runde einen Trank zu beschwören	🍞% de probabilidad de invocar una poción cada turno	🍞毎ターンポーションを召喚する%の確率	🍞% de chance de invocar uma poção a cada turno	🍞% فرصة لاستدعاء جرعة في كل دور	매 턴마다 포션을 소환할 확률 🍞%	🍞% вероятность призвать зелье каждый ход	每回合有 🍞% 概率召唤一个药水	每回合有 🍞% 幾率召喚藥水	🍞% szans na przywołanie mikstury w każdej turze	🍞% kans om elke beurt een potion op te roepen	🍞% вѣроятность призвати зельѥ каждый ходъ
rune_clone_on_tele	Leave a clone behind whenever you teleport	Laisse un clone derrière toi chaque fois que tu te téléportes.	Lascia un clone dietro di te ogni volta che teletrasporti.	Lass einen Klon zurück, wann immer du teleportierst.	Deja un clon atrás cada vez que te teletransportes.	テレポートするたびにクローンを残す	Deixe um clone para trás sempre que você se teletransportar.	اترك نسخة خلفك كلما قمت بالتنقل الفوري	텔레포트할 때마다 복제본을 남기세요.	Оставляйте клона позади каждый раз, когда телепортируетесь.	每当你传送时都会留下一个克隆。	每當你瞬移時，留下一个克隆。	Zostaw klona za sobą za każdym razem, gdy teleportujesz się.	Laat een kloon achter telkens wanneer je teleporteert.	Оставляйте двойника позади каждый разъ, когда преходите.
rune_plague_bringer	Poisons 🍞 random enemy units each turn	Empoisonne 🍞 les unités ennemies aléatoires à chaque tour.	Avvelena 🍞 unità nemiche casuali ogni turno.	Vergiftet 🍞 zufällige feindliche Einheiten jede Runde.	Envenena 🍞 unidades enemigas aleatorias cada turno.	毎ターン、ランダムな敵ユニットに毒を与える🍞	Venenos 🍞 unidades inimigas aleatórias a cada turno.	يسمم وحدات الأعداء العشوائية كل جولة 🍞	매턴마다 랜덤 적 유닛을 독살합니다.	Отравляет 🍞 случайные вражеские юниты каждый ход.	每回合随机毒害敌方单位🍞	每回合隨機毒害敵方單位 🍞	Zatruwa 🍞 losowe jednostki wrogów co turę.	Vergiftigt 🍞 willekeurige vijandelijke eenheden elke beurt	Отравляетъ 🍞 случайныя вражескія воины каждый ходъ.
rune_good_looking	Converts 🍞 random non-champion units to the player's faction on spawn	Convertit 🍞 des unités non-miniboss aléatoires au faction du joueur à leur apparition.	Converte 🍞 unità casuali non miniboss nella fazione del giocatore all'apparizione	Konvertiert 🍞 zufällige Nicht-Miniboss-Einheiten beim Spawn in die Fraktion des Spielers.	Convierte 🍞 unidades aleatorias no miniboss de la facción del jugador al momento de aparecer.	スポーン時に🍞ランダムな非ミニボスユニットをプレイヤーの派閥に変換します。	Converte 🍞 unidades aleatórias não-miniboss para a facção do jogador ao nascer.	تحول 🍞 وحدات عشوائية غير زعماء مصغرين إلى فصيل اللاعب عند الظهور	스폰 시 🍞 랜덤 비미니보스 유닛을 플레이어의 진영으로 전환합니다.	ПриSpawn'е преобразует 🍞 случайные не-минибосс юниты в фракцию игрока.	在生成时将随机的非小型首领单位转换为玩家的阵营。	在生成時將 🍞 隨機非小型首領單位轉換為玩家的派系。	Przekształca 🍞 losowe jednostki nie-minibossów na frakcję gracza przy pojawieniu się.	Zet 🍞 willekeurige niet-minibaas eenheden om naar de fractie van de speler bij het spawnen.	При явленіи преобразуетъ 🍞 случайныя не-великіе воины въ дружину игрока.
rune_dare_devil	Lose half of your max health for +🍞 stat points	Perdez la moitié de votre santé maximale pour +🍞 points de statut.	Perdi metà della tua vita massima per +🍞 punti statistica.	Verliere die Hälfte deiner maximalen Gesundheit für +🍞 Attributspunkte.	Pierde la mitad de tu salud máxima a cambio de +🍞 puntos de estadística.	最大健康の半分を失って、+🍞ステータスポイントを得る	Perder metade da sua saúde máxima para +🍞 pontos de estatísticas	افقد نصف صحتك القصوى مقابل +🍞 نقاط الإحصاء	최대 체력의 절반을 잃고 +🍞 스탯 포인트를 얻습니다.	Потеряйте половину своего максимального здоровья для получения +🍞 очков стата.	失去一半的最大生命值以获得 +🍞 属性点	失去一半的最大生命值以獲得 +🍞 能力點數	Stracisz połowę swojego maksymalnego zdrowia za +🍞 punktów statystyk.	Verlies de helft van je maximale gezondheid voor +🍞 stat punten	Погибни половины твоего наибольшаго здравия для обрѣтенія +🍞 очковъ доблести.
revitalize	Revitalize	Revitaliser	Rivitalizzare	Beleben	Revivir	再生する	Revitalizar	إحياء	재생하다	Оживить	重振	振興	Ożywić	Verkwikken	Оживити
